nsec, write_slat_ns_count, write_slat_ns_cumulative, write_slat_ns_percentile, write_clat_ns_count, write_clat_ns_cumulative, write_clat_ns_percentile, write_lat_ns_count, write_lat_ns_cumulative, write_lat_ns_percentile, 
164864, , , , 303, 6478, 0.1579922930588752, , , , 
166912, , , , 296, 6774, 0.16521145309984878, , , , 
168960, , , , 283, 7057, 0.17211355543632018, , , , 
171008, , , , 305, 7362, 0.1795522169650261, , , , 
173056, , , , 308, 7670, 0.18706404565630944, , , , 
175104, , , , 332, 8002, 0.1951612116482123, , , , 
177152, , , , 317, 8319, 0.20289254182722793, , , , 
179200, , , , 310, 8629, 0.21045314862689624, , , , 
181248, , , , 312, 8941, 0.2180625335349495, , , , 
183296, , , , 347, 9288, 0.22652553533973951, , , , 
185344, , , , 322, 9610, 0.23437881078971756, , , , 
187392, , , , 334, 9944, 0.24252475489000536, , , , 
189440, , , , 320, 10264, 0.25032925223159846, , , , 
191488, , , , 299, 10563, 0.2576215794351495, , , , 
193536, , , , 320, 10883, 0.2654260767767426, , , , 
195584, , , , 309, 11192, 0.27296229452221843, , , , 
197632, , , , 295, 11487, 0.28015706550899955, , , , 
199680, , , , 326, 11813, 0.28810789717574753, , , , 
201728, , , , 326, 12139, 0.2960587288424955, , , , 
203776, , , , 294, 12433, 0.30322911077508413, , , , 
205824, , , , 319, 12752, 0.31100921906248474, , , , 
207872, , , , 286, 13038, 0.3179844885615336, , , , 
209920, , , , 288, 13326, 0.32500853616896735, , , , 
211968, , , , 306, 13632, 0.3324715867518658, , , , 
214016, , , , 324, 13956, 0.34037364031022876, , , , 
216064, , , , 264, 14220, 0.3468123506170431, , , , 
218112, , , , 268, 14488, 0.35334861714062726, , , , 
220160, , , , 272, 14760, 0.35998243988098144, , , , 
222208, , , , 301, 15061, 0.36732354519291743, , , , 
224256, , , , 278, 15339, 0.37410370225842643, , , , 
226304, , , , 289, 15628, 0.3811521389200527, , , , 
228352, , , , 249, 15877, 0.3872250134139798, , , , 
230400, , , , 306, 16183, 0.3946880639968782, , , , 
232448, , , , 264, 16447, 0.4011267743036925, , , , 
234496, , , , 296, 16743, 0.4083459343446661, , , , 
236544, , , , 266, 17009, 0.4148334227598654, , , , 
238592, , , , 281, 17290, 0.42168674698795183, , , , 
240640, , , , 229, 17519, 0.42727184039802935, , , , 
242688, , , , 277, 17796, 0.4340276084093459, , , , 
244736, , , , 246, 18042, 0.4400273157406956, , , , 
246784, , , , 250, 18292, 0.44612457928881516, , , , 
248832, , , , 259, 18551, 0.4524413443246671, , , , 
250880, , , , 260, 18811, 0.45878249841471147, , , , 
252928, , , , 251, 19062, 0.46490415101702354, , , , 
254976, , , , 208, 19270, 0.46997707428905905, , , , 
257024, , , , 255, 19525, 0.47619628310814105, , , , 
259072, , , , 269, 19794, 0.48275693868591774, , , , 
261120, , , , 272, 20066, 0.4893907614262719, , , , 
264192, , , , 497, 20563, 0.5015121213599336, , , , 
268288, , , , 457, 21020, 0.5126579191258963, , , , 
272384, , , , 481, 21501, 0.5243890541924784, , , , 
276480, , , , 470, 21971, 0.5358519096629433, , , , 
280576, , , , 495, 22466, 0.5479244914882201, , , , 
284672, , , , 448, 22914, 0.5588507877664504, , , , 
288768, , , , 426, 23340, 0.5692405248524463, , , , 
292864, , , , 429, 23769, 0.5797034291010195, , , , 
296960, , , , 427, 24196, 0.5901175552412078, , , , 
301056, , , , 398, 24594, 0.5998243988098142, , , , 
305152, , , , 328, 24922, 0.6078240085849471, , , , 
309248, , , , 393, 25315, 0.6174089068825911, , , , 
313344, , , , 401, 25716, 0.6271889176137749, , , , 
317440, , , , 383, 26099, 0.6365299253694942, , , , 
321536, , , , 361, 26460, 0.6453343739329789, , , , 
325632, , , , 361, 26821, 0.6541388224964636, , , , 
329728, , , , 353, 27174, 0.6627481586264085, , , , 
333824, , , , 355, 27529, 0.6714062728647383, , , , 
337920, , , , 326, 27855, 0.6793571045314862, , , , 
342016, , , , 333, 28188, 0.6874786595775816, , , , 
346112, , , , 318, 28506, 0.6952343788107898, , , , 
350208, , , , 315, 28821, 0.7029169308814204, , , , 
354304, , , , 303, 29124, 0.7103068143017414, , , , 
358400, , , , 300, 29424, 0.7176235305594849, , , , 
362496, , , , 272, 29696, 0.724257353299839, , , , 
366592, , , , 257, 29953, 0.730525340227306, , , , 
370688, , , , 268, 30221, 0.7370616067508902, , , , 
374784, , , , 253, 30474, 0.7432320374615873, , , , 
378880, , , , 256, 30730, 0.7494756353348617, , , , 
382976, , , , 243, 30973, 0.755402175503634, , , , 
387072, , , , 238, 31211, 0.7612067704014438, , , , 
391168, , , , 223, 31434, 0.7666455294863666, , , , 
395264, , , , 227, 31661, 0.7721818447880591, , , , 
399360, , , , 237, 31898, 0.7779620506316764, , , , 
403456, , , , 206, 32104, 0.782986195795327, , , , 
407552, , , , 201, 32305, 0.7878883956880152, , , , 
411648, , , , 191, 32496, 0.7925467050387786, , , , 
415744, , , , 192, 32688, 0.7972294034437345, , , , 
419840, , , , 182, 32870, 0.8016682113067656, , , , 
423936, , , , 155, 33025, 0.8054485147065997, , , , 
428032, , , , 202, 33227, 0.8103751036534803, , , , 
432128, , , , 185, 33412, 0.8148870786790888, , , , 
436224, , , , 177, 33589, 0.8192039412711575, , , , 
440320, , , , 166, 33755, 0.8232525242671089, , , , 
444416, , , , 160, 33915, 0.8271547729379055, , , , 
448512, , , , 145, 34060, 0.8306911857958148, , , , 
452608, , , , 163, 34223, 0.8346666016291888, , , , 
456704, , , , 124, 34347, 0.8376908443490562, , , , 
460800, , , , 123, 34470, 0.840690698014731, , , , 
464896, , , , 162, 34632, 0.8446417247939125, , , , 
468992, , , , 134, 34766, 0.8479098580557046, , , , 
473088, , , , 135, 34901, 0.8512023803716892, , , , 
477184, , , , 124, 35025, 0.8542266230915565, , , , 
481280, , , , 113, 35138, 0.8569825862153065, , , , 
485376, , , , 119, 35257, 0.8598848836642115, , , , 
489472, , , , 106, 35363, 0.8624701234086142, , , , 
493568, , , , 117, 35480, 0.8653236427491342, , , , 
497664, , , , 112, 35592, 0.8680552168186918, , , , 
501760, , , , 93, 35685, 0.8703233988585922, , , , 
505856, , , , 78, 35763, 0.8722257450856056, , , , 
509952, , , , 118, 35881, 0.875103653480318, , , , 
514048, , , , 96, 35977, 0.877445002682796, , , , 
518144, , , , 85, 36062, 0.8795180722891566, , , , 
522240, , , , 75, 36137, 0.8813472513535925, , , , 
528384, , , , 183, 36320, 0.885810448270816, , , , 
536576, , , , 174, 36494, 0.8900541437003073, , , , 
544768, , , , 171, 36665, 0.8942246719672211, , , , 
552960, , , , 157, 36822, 0.8980537534754403, , , , 
561152, , , , 152, 36974, 0.901760889712697, , , , 
569344, , , , 143, 37117, 0.9052485244622214, , , , 
577536, , , , 130, 37247, 0.9084191015072436, , , , 
585728, , , , 108, 37355, 0.9110531193600312, , , , 
593920, , , , 117, 37472, 0.9139066387005512, , , , 
602112, , , , 128, 37600, 0.9170284376371884, , , , 
610304, , , , 115, 37715, 0.9198331788693235, , , , 
618496, , , , 95, 37810, 0.9221501390176089, , , , 
626688, , , , 90, 37900, 0.924345153894932, , , , 
634880, , , , 86, 37986, 0.9264426125554851, , , , 
643072, , , , 75, 38061, 0.928271791619921, , , , 
651264, , , , 62, 38123, 0.9297839129798546, , , , 
659456, , , , 68, 38191, 0.9314423686649431, , , , 
667648, , , , 71, 38262, 0.9331739915126092, , , , 
675840, , , , 91, 38353, 0.9353933954441247, , , , 
684032, , , , 73, 38426, 0.9371737964001756, , , , 
692224, , , , 51, 38477, 0.938417638163992, , , , 
700416, , , , 57, 38534, 0.9398078142529632, , , , 
708608, , , , 48, 38582, 0.9409784888542022, , , , 
716800, , , , 52, 38634, 0.9422467196722111, , , , 
724992, , , , 55, 38689, 0.9435881176527974, , , , 
733184, , , , 32, 38721, 0.9443685673869567, , , , 
741376, , , , 38, 38759, 0.9452953514462709, , , , 
749568, , , , 25, 38784, 0.9459050778010829, , , , 
757760, , , , 35, 38819, 0.9467586946978196, , , , 
765952, , , , 27, 38846, 0.9474171991610165, , , , 
774144, , , , 36, 38882, 0.9482952051119458, , , , 
782336, , , , 24, 38906, 0.9488805424125653, , , , 
790528, , , , 16, 38922, 0.9492707672796449, , , , 
798720, , , , 22, 38944, 0.9498073264718794, , , , 
806912, , , , 12, 38956, 0.9500999951221891, , , , 
815104, , , , 15, 38971, 0.9504658309350763, , , , 
823296, , , , 12, 38983, 0.950758499585386, , , , 
831488, , , , 10, 38993, 0.9510023901273109, , , , 
839680, , , , 12, 39005, 0.9512950587776206, , , , 
847872, , , , 12, 39017, 0.9515877274279303, , , , 
856064, , , , 14, 39031, 0.951929174186625, , , , 
864256, , , , 12, 39043, 0.9522218428369348, , , , 
872448, , , , 10, 39053, 0.9524657333788595, , , , 
880640, , , , 13, 39066, 0.9527827910833618, , , , 
888832, , , , 10, 39076, 0.9530266816252866, , , , 
897024, , , , 9, 39085, 0.9532461831130189, , , , 
905216, , , , 8, 39093, 0.9534412955465587, , , , 
913408, , , , 12, 39105, 0.9537339641968684, , , , 
921600, , , , 8, 39113, 0.9539290766304083, , , , 
929792, , , , 5, 39118, 0.9540510219013707, , , , 
937984, , , , 9, 39127, 0.954270523389103, , , , 
946176, , , , 8, 39135, 0.9544656358226428, , , , 
954368, , , , 10, 39145, 0.9547095263645676, , , , 
962560, , , , 5, 39150, 0.95483147163553, , , , 
970752, , , , 2, 39152, 0.9548802497439149, , , , 
978944, , , , 6, 39158, 0.9550265840690698, , , , 
987136, , , , 2, 39160, 0.9550753621774548, , , , 
995328, , , , 2, 39162, 0.9551241402858397, , , , 
1003520, , , , 1, 39163, 0.9551485293400322, , , , 
1011712, , , , 3, 39166, 0.9552216965026096, , , , 
1019904, , , , 2, 39168, 0.9552704746109946, , , , 
1028096, , , , 7, 39175, 0.9554411979903419, , , , 
1036288, , , , 1, 39176, 0.9554655870445344, , , , 
1044480, , , , 4, 39180, 0.9555631432613043, , , , 
1056768, , , , 12, 39192, 0.9558558119116141, , , , 
1073152, , , , 7, 39199, 0.9560265352909614, , , , 
1089536, , , , 4, 39203, 0.9561240915077314, , , , 
1105920, , , , 2, 39205, 0.9561728696161162, , , , 
1122304, , , , 2, 39207, 0.9562216477245012, , , , 
1138688, , , , 6, 39213, 0.9563679820496561, , , , 
1155072, , , , 1, 39214, 0.9563923711038486, , , , 
1171456, , , , 4, 39218, 0.9564899273206185, , , , 
1187840, , , , 4, 39222, 0.9565874835373884, , , , 
1204224, , , , 3, 39225, 0.9566606506999659, , , , 
1220608, , , , 3, 39228, 0.9567338178625433, , , , 
1236992, , , , 5, 39233, 0.9568557631335057, , , , 
1269760, , , , 5, 39238, 0.956977708404468, , , , 
1286144, , , , 2, 39240, 0.957026486512853, , , , 
1302528, , , , 1, 39241, 0.9570508755670455, , , , 
1318912, , , , 2, 39243, 0.9570996536754305, , , , 
1335296, , , , 2, 39245, 0.9571484317838155, , , , 
1351680, , , , 2, 39247, 0.9571972098922004, , , , 
1384448, , , , 2, 39249, 0.9572459880005854, , , , 
1400832, , , , 1, 39250, 0.9572703770547778, , , , 
1417216, , , , 1, 39251, 0.9572947661089702, , , , 
1433600, , , , 2, 39253, 0.9573435442173552, , , , 
1449984, , , , 2, 39255, 0.9573923223257402, , , , 
1466368, , , , 3, 39258, 0.9574654894883177, , , , 
1482752, , , , 2, 39260, 0.9575142675967026, , , , 
1499136, , , , 2, 39262, 0.9575630457050875, , , , 
1515520, , , , 3, 39265, 0.957636212867665, , , , 
1531904, , , , 2, 39267, 0.95768499097605, , , , 
1548288, , , , 2, 39269, 0.9577337690844349, , , , 
1564672, , , , 3, 39272, 0.9578069362470123, , , , 
1581056, , , , 1, 39273, 0.9578313253012049, , , , 
1597440, , , , 1, 39274, 0.9578557143553973, , , , 
1613824, , , , 2, 39276, 0.9579044924637823, , , , 
1646592, , , , 2, 39278, 0.9579532705721672, , , , 
1662976, , , , 1, 39279, 0.9579776596263597, , , , 
1679360, , , , 2, 39281, 0.9580264377347446, , , , 
1712128, , , , 7, 39288, 0.958197161114092, , , , 
1744896, , , , 1, 39289, 0.9582215501682845, , , , 
1777664, , , , 3, 39292, 0.9582947173308619, , , , 
1794048, , , , 1, 39293, 0.9583191063850544, , , , 
1810432, , , , 1, 39294, 0.9583434954392469, , , , 
1826816, , , , 1, 39295, 0.9583678844934393, , , , 
1843200, , , , 1, 39296, 0.9583922735476318, , , , 
1859584, , , , 1, 39297, 0.9584166626018243, , , , 
1892352, , , , 1, 39298, 0.9584410516560168, , , , 
2179072, , , , 1, 39299, 0.9584654407102092, , , , 
2211840, , , , 1, 39300, 0.9584898297644018, , , , 
2310144, , , , 2, 39302, 0.9585386078727867, , , , 
2342912, , , , 1, 39303, 0.9585629969269792, , , , 
2375680, , , , 1, 39304, 0.9585873859811717, , , , 
2408448, , , , 3, 39307, 0.9586605531437491, , , , 
2441216, , , , 2, 39309, 0.9587093312521341, , , , 
2473984, , , , 2, 39311, 0.958758109360519, , , , 
2506752, , , , 1, 39312, 0.9587824984147115, , , , 
2539520, , , , 2, 39314, 0.9588312765230964, , , , 
2572288, , , , 1, 39315, 0.958855665577289, , , , 
2670592, , , , 2, 39317, 0.9589044436856738, , , , 
2703360, , , , 1, 39318, 0.9589288327398664, , , , 
2736128, , , , 2, 39320, 0.9589776108482513, , , , 
2899968, , , , 1, 39321, 0.9590019999024438, , , , 
2965504, , , , 1, 39322, 0.9590263889566363, , , , 
2998272, , , , 3, 39325, 0.9590995561192137, , , , 
3031040, , , , 3, 39328, 0.9591727232817912, , , , 
3063808, , , , 4, 39332, 0.959270279498561, , , , 
3096576, , , , 3, 39335, 0.9593434466611385, , , , 
3129344, , , , 1, 39336, 0.9593678357153309, , , , 
3162112, , , , 1, 39337, 0.9593922247695235, , , , 
3194880, , , , 2, 39339, 0.9594410028779083, , , , 
3227648, , , , 2, 39341, 0.9594897809862933, , , , 
3293184, , , , 2, 39343, 0.9595385590946783, , , , 
3325952, , , , 1, 39344, 0.9595629481488708, , , , 
3358720, , , , 2, 39346, 0.9596117262572558, , , , 
3424256, , , , 2, 39348, 0.9596605043656407, , , , 
3489792, , , , 1, 39349, 0.9596848934198332, , , , 
3817472, , , , 1, 39350, 0.9597092824740256, , , , 
3883008, , , , 2, 39352, 0.9597580605824106, , , , 
3948544, , , , 1, 39353, 0.9597824496366031, , , , 
4620288, , , , 1, 39354, 0.9598068386907955, , , , 
4685824, , , , 2, 39356, 0.9598556167991805, , , , 
4751360, , , , 4, 39360, 0.9599531730159504, , , , 
4816896, , , , 1, 39361, 0.959977562070143, , , , 
5013504, , , , 1, 39362, 0.9600019511243354, , , , 
5079040, , , , 3, 39365, 0.9600751182869128, , , , 
5210112, , , , 7, 39372, 0.9602458416662601, , , , 
5537792, , , , 1, 39373, 0.9602702307204527, , , , 
5668864, , , , 2, 39375, 0.9603190088288376, , , , 
5734400, , , , 5, 39380, 0.9604409540998, , , , 
5931008, , , , 1, 39381, 0.9604653431539925, , , , 
6193152, , , , 1, 39382, 0.960489732208185, , , , 
7700480, , , , 1, 39383, 0.9605141212623775, , , , 
7897088, , , , 2, 39385, 0.9605628993707624, , , , 
8093696, , , , 2, 39387, 0.9606116774791473, , , , 
8290304, , , , 4, 39391, 0.9607092336959173, , , , 
8355840, , , , 1, 39392, 0.9607336227501098, , , , 
8585216, , , , 1, 39393, 0.9607580118043022, , , , 
8716288, , , , 1, 39394, 0.9607824008584948, , , , 
24248320, , , , 3, 39397, 0.9608555680210722, , , , 
24510464, , , , 5, 39402, 0.9609775132920345, , , , 
31326208, , , , 7, 39409, 0.9611482366713819, , , , 
31588352, , , , 1, 39410, 0.9611726257255744, , , , 
32374784, , , , 1, 39411, 0.9611970147797668, , , , 
32636928, , , , 5, 39416, 0.9613189600507293, , , , 
32899072, , , , 1, 39417, 0.9613433491049217, , , , 
33161216, , , , 5, 39422, 0.9614652943758841, , , , 
33816576, , , , 1, 39423, 0.9614896834300766, , , , 
34340864, , , , 8, 39431, 0.9616847958636164, , , , 
34865152, , , , 1, 39432, 0.9617091849178089, , , , 
35389440, , , , 7, 39439, 0.9618799082971562, , , , 
35913728, , , , 6, 39445, 0.9620262426223111, , , , 
36438016, , , , 5, 39450, 0.9621481878932735, , , , 
36962304, , , , 66, 39516, 0.9637578654699771, , , , 
37486592, , , , 84, 39600, 0.9658065460221452, , , , 
38010880, , , , 116, 39716, 0.9686356763084728, , , , 
38535168, , , , 192, 39908, 0.9733183747134286, , , , 
39059456, , , , 205, 40113, 0.9783181308228867, , , , 
39583744, , , , 266, 40379, 0.984805619238086, , , , 
40108032, , , , 155, 40534, 0.9885859226379201, , , , 
40632320, , , , 108, 40642, 0.9912199404907077, , , , 
41156608, , , , 35, 40677, 0.9920735573874445, , , , 
43253760, , , , 1, 40678, 0.992097946441637, , , , 
44826624, , , , 2, 40680, 0.992146724550022, , , , 
47972352, , , , 2, 40682, 0.992195502658407, , , , 
51118080, , , , 9, 40691, 0.9924150041461393, , , , 
51642368, , , , 15, 40706, 0.9927808399590264, , , , 
52166656, , , , 8, 40714, 0.9929759523925662, , , , 
52690944, , , , 4, 40718, 0.9930735086093361, , , , 
53215232, , , , 17, 40735, 0.9934881225306083, , , , 
53739520, , , , 50, 40785, 0.9947075752402322, , , , 
54263808, , , , 46, 40831, 0.9958294717330862, , , , 
54788096, , , , 58, 40889, 0.99724403687625, , , , 
55312384, , , , 45, 40934, 0.9983415443149115, , , , 
55836672, , , , 54, 40988, 0.9996585532413053, , , , 
56360960, , , , 14, 41002, 1.0, , , , 
